ls_number,ls_title,english_title,composer
14,"Jika Kiranya Lidahku","O Could I Speak The Matchless","Samuel Medley"
17,"Tuhan Lindungilah Kami","Lord, Keep Us Safe This Night",""
32,"Sembah Sujudlah Umat-Nya","With Reverence Let The Saints","Isaac Watts"
40,"Tuhan, Pimpinlah Aku","Saviour, Lead Me Lest I Stray","Frank M. Davis"
43,"Slamat Malam","Good Night","F. E. Belden"
56,"Ya Tuhan, Iringlah Kami","The Lord Be With Us As We Bend","J. Ellerto"
60,"Pada Akhir Kebaktian Ini","Saviour, Again To Thy Dear Name","John Ellerton"
61,"Ya, Tuhanku ,Tuntun Aku berjalan","Lead Thou Me On","Harry Armstrong"
62,"Lebih Besar Dari Kasih Ibu","Dearer Than All","Alfred H. Ackley"
63,"Sembilan Puluh Sembilan","There Were Ninety And Nine","Elizabeth C. Clephane"
64,"Tiada Lain Pelindung Seperti Yesus","I Would Like To Tell You","C. F Weigle"
66,"Itu Nyata Di Hatiku","It's In My Heart","Arthur Slater"
67,"Lama Tlah Dirindu","Is Your All On The Altar","E. A. H"
68,"Bapa, Kami Datang","Father, We Come To Thee","F. E. Belden"
73,"Kasih Allah","The Love Of God Is Greater Far","Claudia Lehman Mays"
100,"Marilah Bersukacita","Let Our Hearts Be Always Cheerful","Fanny J. Crosby"
128,"Aku Mau Hidup Bagi Yesusku","Living For Jesus","T. O. Chisholm"
138,"Tidur Tenang Dalam Yesus","Asleep In Jesus","Margaret Mackay"
140,"Tak kan Lama Lagi","A Few More Years Shall Roll","Horatius Bonar"
154,"Jaga, Sedia","Waiting And Watching","S. M. H"
161,"Ku Mau Sedia","I Want To Be Ready When Jesus Comes",""
167,"Hari Yang Mulia Akan Tiba","There's A New Day Dawning","A. H. Ackley"
171,"Kita Dijamu Oleh Raja","Called To The Feast By The King","J. E. Landor"
172,"Di Seluruh Dunia Nyatalah","O'er All The Land Have The Signs","W. C Cage"
173,"Pada Waktu Penuaian","In The Glad Time Of The Harvest","L. D Santee"
174,"Kristus Tlah Ada Di Pintu","The Coming King Is At The Door","F. E. Belden"
192,"Ya Roh Suci Yang Benar","Holy Spirit, Faithful Guide","M. M Wells"
197,"Aku Dengar Hujan Berkat","Lord, I Hear Of Shower","Elizabeth Codner"
215,"Ya Tuhan, Engkau Tlah Mati","Saviour, Thy Dying Love","Sylvanus D. Phelps"
216,"Yesus Panggil Engkau Pulang","Jesus Is Tenderly Calling Thee Home","Fanny J. Crosby"
217,"Ya Yesus, Yang Penuh Kasih","Blessed Jesus, Meek And Lowly","Annie R. Smith"
218,"Lenyap Nafsu Dunia","Fade, Fade Each Earthly Joy","Mrs. Catherine J. Bonar"
223,"Yesus Panggil, Aku Ikut","Jesus Calls Me, I Must Follow","Howard L. Brown"
224,"Apa Kita Hidup Dekat Yesus?","Can The World See Jesus In You","Mrs. C. H. Morris"
225,"Hampir Percaya","Almost Persuaded","P. P Bliss"
229,"Janganlah Bersedih","",""
253,"Aku Tak Akan Tinggalkan","I Will Never Leave Thee",Anonymous
254,"Dalam Hatiku Ada Lagu","I Have A Song That Jesus Gave Me","Elton M. Roth"
257,"Aku Dengar Yesus Panggil","I Can Hear My Saviour Calling","E. W. Blandly"
