sda_hymnal_num,sda_hymnal_title,ls_number,ls_title,sda_source
1,"Praise to the Lord",4,"Puji Tuhan",site
2,"All Creatures of Our God and King",2,"Hai Segnap Ciptaan Tuhan",site
3,"God Himself Is With Us",3,"Tuhan Allah Hadir",site
4,"Praise My Soul the King of Heaven",497,"Mari Puji Raja Surga",site
6,"O Worship the Lord",8,"Sembahlah Tuhan",site
7,"The Lord in Zion Reigneth",6,"Tuhan Raja Di Sion",site
8,"We Gather Together",7,"Kita Berhimpun",site
10,"Come Christians Join To Sing",9,"Hai Kristen Nyanyilah",title-match
12,"Joyful, Joyful, We Adore Thee",11,"Dengan Riang Kami Puji",site
13,"New Songs of Celebration Render",12,"Nyanyikanlah Kidung Yang Baru",site
15,"My Maker and My King",488,"Khalik Dan Rajaku",site
16,"All People That on Earth Do Dwell",21,"Pada-Mu Allah Ku Puji",site
17,"Lord of All Being, Throned Afar",16,"Tuhan Bertakhta Di Surga",site
19,"O Sing a New Song to the Lord",20,"Kidung Yang Baru",site
20,"O Praise Ye the Lord",18,"Pujilah Allah",site
21,"Immortal, Invisible, God Only Wise",23,"Allah Yang Abadi",site
23,"Now the Joyful Bells A-Ringing",24,"Dengar Lonceng Berdentang",site
25,"Praise the Lord, His Glories Show",25,"Puji Tuhan Yang Mulia",site
26,"Praise the Lord! You Heavens Adore Him",26,"Puji Tuhan Hai Manusia",site
27,"Rejoice, Ye Pure in Heart!",27,"Mari Umat Allah",site
29,"Sing Praise to God",29,"Puji Allah Yang Bertakhta",site
30,"Holy God, We Praise Your Name",30,"Kuduslah Nama Tuhan",site
31,"Tell Out My Soul",31,"Critakan Keagungan Tuhanmu",site
34,"Wake the Song",33,"Nyanyikan Dengan Gembira",site
36,"O Thou in Whose Presence",474,"Tuhan Di Hadirat-Mu Ku Bersuka",site
37,"O Sing, My Soul, Your Maker's Praise",36,"Menyanyilah Hai Jiwaku",site
39,"Lord, in the Morning",37,"Waktu Pagi Ya Tuhanku",site
40,"The  Dawn of God's Dear Sabbath",41,"Sambutlah Sabat Tuhan",site
47,"God Who Made The Earth And Heaven",44,"Allah Khalik Langit, Bumi",title-match
48,"Softly Now the Light of Day",47,"Dengan Lembut Trang Siang",site
49,"Savior, Breathe an Evening Blessing",49,"Yesus Berkati Kami",site
50,"Abide With Me",45,"Tlah Hampir Malam",site
51,"Day Is Dying in the West",46,"Matahari Terbenam",site
52,"Now the Day Is Over",48,"Siang Sudah Lalu",site
55,"Jesus Tender Shepherd Hear Me",50,"Yesus Gembala, Dengarlah",site
59,"Great Our Joy As Now We Gather",53,"Kita Berkumpul Bersatu",site
60,"Blessed Jesus At Thy Word",380,"Bersabdalah Ya Tuhan",title-match
61,"God Is Here",51,"Di Sini Yehovah Hadir",site
